setup,epoch,train_loss,train_pos_goodness,train_neg_goodness,goodness_margin,test_accuracy,test_error
unsquared_goodness,10,1.3359315047872828,1.094110256433487,0.9506007432937622,0.14350951313972482,0.5781,0.42190000000000005
student_t_activation,10,1.3378634262592235,2.09222832689894,1.9310466000374327,0.16118172686150722,0.5159,0.4841
finer_blocks,10,1.3630648932558425,2.039512919872365,1.9669837302349984,0.07252918963736676,0.487,0.513
coarse_blocks,10,1.3522310830177144,2.060940615167009,1.9475159987490227,0.11342461641798618,0.4453,0.5547
